timestamp,regionID,temperature_C,wind_speed_m/s,wind_direction,wind_gust,cloud_cover_pct,weathercode
1640329200,09188113,5.88,4.19,258,8.63,100,1001
1640332800,09188113,6.3,4.03,262.01,7.75,100,1001
1640336400,09188113,6.6,4.57,260.25,8.89,100,4000
1640340000,09188113,6.78,4.46,263.98,8.99,100,1001
1640343600,09188113,6.96,4.67,266.47,9.21,100,1001
1640347200,09188113,7,4.96,262.71,9.86,100,1001
1640350800,09188113,6.55,4.81,256.82,9.79,100,4000
1640354400,09188113,6.01,4.31,248.22,9.44,99.68,4000
1640358000,09188113,5.83,4.61,237.95,8.87,99.75,4000
1640361600,09188113,5.88,4.74,239.93,9.16,97.06,4000
1640365200,09188113,6.1,4.51,242.63,9.38,98.06,4000
1640368800,09188113,6.06,3.76,237.98,8.79,93.36,4000
1640372400,09188113,5.97,2.94,240.38,7.2,100,4000
1640376000,09188113,6.2,2.7,251.86,6.19,100,4200
1640379600,09188113,6.05,2.86,241.99,6.2,98.26,4000
1640383200,09188113,5.94,3.18,243.97,6.12,97.84,4000
1640386800,09188113,5.9,3.17,240.9,6.68,100,4200
1640390400,09188113,5.86,2.64,232.32,6.22,99.79,1001
1640394000,09188113,5.13,1.81,220.01,5.33,100,1001
1640397600,09188113,4.8,1.4,198.46,4.65,100,4000
1640401200,09188113,3.79,1.71,193.93,3.85,100,1001
1640404800,09188113,3.66,1.82,199.63,5.69,100,6000
1640408400,09188113,3.65,1.97,189.29,5.77,99.94,4000
1640412000,09188113,3.73,1.95,189.61,6.36,100,4000
1640329200,09375,3.38,1.88,219.88,3.63,100,1001
1640332800,09375,3.46,1.34,207.59,2.97,99.84,1001
1640336400,09375,3.77,1.35,216.09,3.06,99.97,1001
1640340000,09375,4.32,1.62,221.51,3.41,100,1001
1640343600,09375,4.68,1.96,222.86,3.71,100,1001
1640347200,09375,4.65,2.2,226.28,4.2,100,1001
1640350800,09375,4.52,2.9,227.2,5.61,100,4000
1640354400,09375,4.63,2.28,233.09,5.24,100,4000
1640358000,09375,4.52,2.05,227.52,4.27,100,4000
1640361600,09375,4.37,1.77,237.05,3.78,99.97,1001
1640365200,09375,4.33,1.56,222.2,3.76,100,1001
1640368800,09375,4.1,1.29,211.4,2.88,100,4000
1640372400,09375,3.9,1.19,190.38,2.63,100,4000
1640376000,09375,3.76,1.15,192.37,2.6,100,4000
1640379600,09375,3.67,1.14,193.65,2.66,100,4000
1640383200,09375,3.61,1.07,193.82,2.58,99.54,4000
1640386800,09375,3.49,0.91,187.17,2.52,100,4000
1640390400,09375,3.52,1.1,178.53,2.22,100,4000
1640394000,09375,3.29,0.83,157.26,2.16,99.91,1001
1640397600,09375,2.92,0.87,139.06,1.58,100,5001
1640401200,09375,2.79,0.83,104.82,1.42,100,5100
1640404800,09375,2.55,1.4,146.76,2.47,100,6200
1640408400,09375,2.74,1.18,137.44,2.45,100,5100
1640412000,09375,2.62,1.23,113.77,2.16,100,6200
1640329200,09186,4.69,5.63,254.38,10.69,100,1001
1640332800,09186,4.55,5.14,250.47,9.88,100,4200
1640336400,09186,4.81,5.38,246.36,9.53,98.51,4200
1640340000,09186,4.95,5.52,247.06,9.77,100,4200
1640343600,09186,4.93,5.4,244.58,9.78,100,4200
1640347200,09186,5.34,5.06,246.62,9.57,100,4000
1640350800,09186,5.64,5.08,242.1,8.99,100,4000
1640354400,09186,5.67,5.57,242.26,9.87,100,4000
1640358000,09186,5.4,5.31,236.28,9.87,100,4000
1640361600,09186,5.02,5.15,234.01,9.43,93.56,4000
1640365200,09186,4.85,4.78,239.11,9.06,100,4000
1640368800,09186,4.82,4.37,243.82,8.42,93.93,4000
1640372400,09186,4.76,4.37,242.55,7.72,100,4000
1640376000,09186,4.85,4.59,242.2,8.09,100,4200
1640379600,09186,4.93,4.39,246.96,8.1,100,4200
1640383200,09186,4.9,4.46,242.3,7.89,100,4200
1640386800,09186,4.94,4.14,241.04,7.9,100,4200
1640390400,09186,4.73,3.32,241.77,7.24,99.22,1001
1640394000,09186,4.81,2.54,244.31,5.87,100,1001
1640397600,09186,4.49,2.53,238.18,5.02,100,1001
1640401200,09186,4.58,2.21,245.34,5.33,100,4200
1640404800,09186,4.47,1.57,254.15,4.17,100,1001
1640408400,09186,3.91,1.44,229.11,2.92,100,1001
1640412000,09186,3.6,1.57,200.16,2.9,89.18,1001
